"LOCATION","DISTRICT","SENSITIVITY ZONE","INTERVENTION","OPERATION START DATE","OPERATION END DATE"
"E 8th St between 11th Ave and 12th Ave","D2","High","Closure","June 02, 2025","June 06, 2025"
"E 8th St between 10th Ave and 11th Ave","D2","High","Closure","June 02, 2025","June 06, 2025"
"E 8th St between 9th Ave and 10th Ave","D2","High","Closure","June 02, 2025","June 06, 2025"
"E 8th St between 8th Ave and 9th Ave","D2","High","Closure","June 02, 2025","June 06, 2025"
"12th Ave between E. 8th St and E. 12th St","D2","High","Closure","June 02, 2025","June 06, 2025"
"11th Ave between E 11th St and E 12th St","D2","High","Closure","June 02, 2025","June 06, 2025"
"11th Ave between E 8th St and E 11th St","D2","High","Closure","June 02, 2025","June 06, 2025"
"10th Ave between E 11th St and E 12th St","D2","High","Closure","June 02, 2025","June 06, 2025"
"10th Ave between E 8th St and E 11th St","D2","High","Closure","June 02, 2025","June 06, 2025"
"9th Ave between E 11th St & E 12th St","D2","High","Closure","June 02, 2025","June 06, 2025"
"6th St between Franklin St and Webster St","D3","High","Closure","June 02, 2025","June 03, 2025"
"9th Ave between E 8th St & E 10th St","D2","High","Closure","June 02, 2025","June 06, 2025"
"MLK between 24th & 25th","D3","Low","Closure","May 28, 2025","May 30, 2025"
"MLK between 23rd & 24th","D3","Low","Closure","May 28, 2025","May 30, 2025"
"MLk between W Grand Ave & 23rd","D3","Low","Closure","May 28, 2025","May 30, 2025"
"23rd St. between MLK and San Pablo","D3","Low","Closure","May 28, 2025","May 30, 2025"
"23rd St between MLK to Northgate","D3","Low","Closure","May 28, 2025","May 30, 2025"
"29th St. between MLK and Telegraph","D3","Low","Closure","May 28, 2025","May 30, 2025"
"E 8th St between 11th Ave and 12th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"E 10th St between 8th Ave and 9th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"E 10th St between 9th Ave and E 8th St","D2","High","Closure","May 27, 2025","May 30, 2025"
"E 11th St between 8th Ave and 9th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"E 11th St between 9th Ave and 10th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"E 11th St between 10th Ave and 11th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"E 11th St between 11th Ave and E 8th St","D2","High","Closure","May 27, 2025","May 30, 2025"
"8th Ave between E 8th St & E 10th St","D2","High","Closure","May 27, 2025","May 30, 2025"
"8th Ave between E 10th St & E 11th St","D2","High","Closure","May 27, 2025","May 30, 2025"
"8th Ave between E 11th St & E 12th St","D2","High","Closure","May 27, 2025","May 30, 2025"
"9th Ave between E 8th St & E 10th St","D2","High","Closure","May 27, 2025","May 30, 2025"
"9th Ave between E 10th St & E 11th St","D2","High","Closure","May 27, 2025","May 30, 2025"
"9th Ave between E 11th St & E 12th St","D2","High","Closure","May 27, 2025","May 30, 2025"
"10th Ave between E 8th St and E 11th St","D2","High","Closure","May 27, 2025","May 30, 2025"
"10th Ave between E 11th St and E 12th St","D2","High","Closure","May 27, 2025","May 30, 2025"
"11th Ave between E 8th St and E 11th St","D2","High","Closure","May 27, 2025","May 30, 2025"
"11th Ave between E 11th St and E 12th St","D2","High","Closure","May 27, 2025","May 30, 2025"
"12th Ave between E. 8th St and E. 12th St","D2","High","Closure","May 27, 2025","May 30, 2025"
"E 8th St between 8th Ave and 9th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"E 8th St between 9th Ave and 10th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"E 8th St between 10th Ave and 11th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"E 8th St between 12th Ave and E 12th St","D2","High","Closure","May 27, 2025","May 30, 2025"
"Solano Way between 14th Ave and 15th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"Solano Way between 15th Ave and 16th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"Solano Way between 16th Ave and 17th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"Solano Way between 17th Ave and 18th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"Solano Way between 18th Ave and 19th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"Solano Way between 19th Ave and 20th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"19th Ave between E 12th St and Solano Way","D2","High","Closure","May 27, 2025","May 30, 2025"
"19th Ave between Solano Way and International Blvd","D2","High","Closure","May 27, 2025","May 30, 2025"
"18th Ave between E 12th St and Solano Way","D2","High","Closure","May 27, 2025","May 30, 2025"
"18th Ave between Solano Way and International Blvd","D2","High","Closure","May 27, 2025","May 30, 2025"
"17th Ave between E 12th St and Solano Way","D2","High","Closure","May 27, 2025","May 30, 2025"
"17th Ave between Solano Way and International Blvd","D2","High","Closure","May 27, 2025","May 30, 2025"
"16th Ave between E 12th St and Solano Way","D2","High","Closure","May 27, 2025","May 30, 2025"
"16th Ave between Solano Way and International Blvd","D2","High","Closure","May 27, 2025","May 30, 2025"
"15th Ave between E 12th St and Solano Way","D2","High","Closure","May 27, 2025","May 30, 2025"
"15th Ave between Solano Way and International Blvd","D2","High","Closure","May 27, 2025","May 30, 2025"
"E. 12th Median : 14th Ave to 19th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"E 12th St between 25th Ave & 26th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"E 12th St between 26th Ave & 29th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"E 12th St between 29th Ave & 30th Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"E 12th St between 30th Ave & Derby Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"E 12th St between Derby Ave & Fruitvale Ave","D2","High","Closure","May 27, 2025","May 30, 2025"
"International Blvd between 85th Ave and 86th Ave","D7","High","Closure","May 27, 2025","May 30, 2025"
"A St between 85th Ave and 86th Ave","D7","High","Closure","May 27, 2025","May 30, 2025"
"86th Ave between International Blvd & A St","D7","High","Closure","May 27, 2025","May 30, 2025"
"85th Ave between International Blvd & A St","D7","High","Closure","May 27, 2025","May 30, 2025"
"21st Ave between E 12th St and International Blvd","D2","High","Closure","May 22, 2025","May 23, 2025"
"E 8th St between 8th Ave and 9th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"E 8th St between 9th Ave and 10th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"E 8th St between 10th Ave and 11th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"E 8th St between 11th Ave and 12th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"E 8th St between 12th Ave and E 12th St","D2","High","Closure","May 19, 2025","May 23, 2025"
"Solano Way between 14th Ave and 15th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"Solano Way between 15th Ave and 16th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"Solano Way between 16th Ave and 17th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"Solano Way between 17th Ave and 18th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"Solano Way between 18th Ave and 19th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"Solano Way between 19th Ave and 20th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"19th Ave between E 12th St and Solano Way","D2","High","Closure","May 19, 2025","May 23, 2025"
"19th Ave between Solano Way and International Blvd","D2","High","Closure","May 19, 2025","May 23, 2025"
"18th Ave between E 12th St and Solano Way","D2","High","Closure","May 19, 2025","May 23, 2025"
"18th Ave between Solano Way and International Blvd","D2","High","Closure","May 19, 2025","May 23, 2025"
"17th Ave between E 12th St and Solano Way","D2","High","Closure","May 19, 2025","May 23, 2025"
"17th Ave between Solano Way and International Blvd","D2","High","Closure","May 19, 2025","May 23, 2025"
"16th Ave between E 12th St and Solano Way","D2","High","Closure","May 19, 2025","May 23, 2025"
"16th Ave between Solano Way and International Blvd","D2","High","Closure","May 19, 2025","May 23, 2025"
"15th Ave between E 12th St and Solano Way","D2","High","Closure","May 19, 2025","May 23, 2025"
"15th Ave between Solano Way and International Blvd","D2","High","Closure","May 19, 2025","May 23, 2025"
"E. 12th Median : 14th Ave to 19th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"E 12th St between 25th Ave & 26th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"E 12th St between 26th Ave & 29th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"E 12th St between 29th Ave & 30th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"E 12th St between 30th Ave & Derby Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"E 12th St between Derby Ave & Fruitvale Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"International Blvd between 85th Ave and 86th Ave","D7","High","Closure","May 19, 2025","May 23, 2025"
"A St between 85th Ave and 86th Ave","D7","High","Closure","May 19, 2025","May 23, 2025"
"86th Ave between International Blvd & A St","D7","High","Closure","May 19, 2025","May 23, 2025"
"85th Ave between International Blvd & A St","D7","High","Closure","May 19, 2025","May 23, 2025"
"E 10th St between 8th Ave and 9th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"E 10th St between 9th Ave and E 8th St","D2","High","Closure","May 19, 2025","May 23, 2025"
"E 11th St between 8th Ave and 9th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"E 11th St between 9th Ave and 10th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"E 11th St between 10th Ave and 11th Ave","D2","High","Closure","May 19, 2025","May 23, 2025"
"E 11th St between 11th Ave and E 8th St","D2","High","Closure","May 19, 2025","May 23, 2025"
"8th Ave between E 8th St & E 10th St","D2","High","Closure","May 19, 2025","May 23, 2025"
"8th Ave between E 10th St & E 11th St","D2","High","Closure","May 19, 2025","May 23, 2025"
"8th Ave between E 11th St & E 12th St","D2","High","Closure","May 19, 2025","May 23, 2025"
"9th Ave between E 8th St & E 10th St","D2","High","Closure","May 19, 2025","May 23, 2025"
"9th Ave between E 10th St & E 11th St","D2","High","Closure","May 19, 2025","May 23, 2025"
"9th Ave between E 11th St & E 12th St","D2","High","Closure","May 19, 2025","May 23, 2025"
"10th Ave between E 8th St and E 11th St","D2","High","Closure","May 19, 2025","May 23, 2025"
"10th Ave between E 11th St and E 12th St","D2","High","Closure","May 19, 2025","May 23, 2025"
"11th Ave between E 8th St and E 11th St","D2","High","Closure","May 19, 2025","May 23, 2025"
"12th Ave between E. 8th St and E. 12th St","D2","High","Closure","May 19, 2025","May 23, 2025"
"11th Ave between E 11th St and E 12th St","D2","High","Closure","May 19, 2025","May 23, 2025"
"9th Ave between E 10th St & E 11th St","D2","High","Closure","May 12, 2025","May 16, 2025"
"10th Ave between E 8th St and E 11th St","D2","High","Closure","May 12, 2025","May 16, 2025"
"10th Ave between E 11th St and E 12th St","D2","High","Closure","May 12, 2025","May 16, 2025"
"11th Ave between E 8th St and E 11th St","D2","High","Closure","May 12, 2025","May 16, 2025"
"11th Ave between E 11th St and E 12th St","D2","High","Closure","May 12, 2025","May 16, 2025"
"12th Ave between E 8th St and E 12th St","D2","High","Closure","May 12, 2025","May 16, 2025"
"E 8th St between 8th Ave and 9th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"E 8th St between 9th Ave and 10th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"E 8th St between 10th Ave and 11th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"E 8th St between 11th Ave and 12th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"E 8th St between 12th Ave and E 12th St","D2","High","Closure","May 12, 2025","May 16, 2025"
"Solano Way between 14th Ave and 15th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"Solano Way between 15th Ave and 16th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"Solano Way between 16th Ave and 17th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"Solano Way between 17th Ave and 18th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"Solano Way between 18th Ave and 19th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"Solano Way between 19th Ave and 20th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"19th Ave between E 12th St and Solano Way","D2","High","Closure","May 12, 2025","May 16, 2025"
"19th Ave between Solano Way and International Blvd","D2","High","Closure","May 12, 2025","May 16, 2025"
"18th Ave between E 12th St and Solano Way","D2","High","Closure","May 12, 2025","May 16, 2025"
"18th Ave between Solano Way and International Blvd","D2","High","Closure","May 12, 2025","May 16, 2025"
"17th Ave between E 12th St and Solano Way","D2","High","Closure","May 12, 2025","May 16, 2025"
"17th Ave between Solano Way and International Blvd","D2","High","Closure","May 12, 2025","May 16, 2025"
"16th Ave between E 12th St and Solano Way","D2","High","Closure","May 12, 2025","May 16, 2025"
"16th Ave between Solano Way and International Blvd","D2","High","Closure","May 12, 2025","May 16, 2025"
"15th Ave between E 12th St and Solano Way","D2","High","Closure","May 12, 2025","May 16, 2025"
"15th Ave between Solano Way and International Blvd","D2","High","Closure","May 12, 2025","May 16, 2025"
"E. 12th Median : 14th Ave to 19th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"E 12th St between 25th Ave & 26th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"E 12th St between 26th Ave & 29th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"E 12th St between 29th Ave & 30th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"E 12th St between 30th Ave & Derby Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"E 12th St between Derby Ave & Fruitvale Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"Mandela Pkwy between 16th St and 17th St","D3","High","Closure","May 12, 2025","May 16, 2025"
"Mandela Pkwy between 17th St and 18th St","D3","High","Closure","May 12, 2025","May 16, 2025"
"Mandela Pkwy between 18th St and 20th St","D3","High","Closure","May 12, 2025","May 16, 2025"
"Mandela Pkwy between 20th St and W Grand Ave","D3","High","Closure","May 12, 2025","May 16, 2025"
"W Grand Ave between Mandela Pkwy & Kirkham St","D3","High","Closure","May 12, 2025","May 16, 2025"
"W Grand Ave between Kirkham St & Poplar St","D3","High","Closure","May 12, 2025","May 16, 2025"
"W Grand between Union St & Poplar St","D3","High","Closure","May 12, 2025","May 16, 2025"
"W Grand between Adeline St & Union St","D3","High","Closure","May 12, 2025","May 16, 2025"
"14th St between Center St and Mandela Pkwy","D3","High","Closure","May 12, 2025","May 16, 2025"
"14th St between Mandela Pkwy and Kirkham Ct","D3","High","Closure","May 12, 2025","May 16, 2025"
"14th St between Mandela Pkwy and Poplar St","D3","High","Closure","May 12, 2025","May 16, 2025"
"14th St between Poplar St and Union St","D3","High","Closure","May 12, 2025","May 16, 2025"
"14th St between Union St & Magnolia St","D3","High","Closure","May 12, 2025","May 16, 2025"
"14th St between Magnolia St & Adeline St","D3","High","Closure","May 12, 2025","May 16, 2025"
"E 10th St between 8th Ave and 9th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"E 10th St between 9th Ave and E 8th St","D2","High","Closure","May 12, 2025","May 16, 2025"
"E 11th St between 8th Ave and 9th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"E 11th St between 9th Ave and 10th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"E 11th St between 10th Ave and 11th Ave","D2","High","Closure","May 12, 2025","May 16, 2025"
"E 11th St between 11th Ave and E 8th St","D2","High","Closure","May 12, 2025","May 16, 2025"
"8th Ave between E 8th St & E 10th St","D2","High","Closure","May 12, 2025","May 16, 2025"
"8th Ave between E 10th St & E 11th St","D2","High","Closure","May 12, 2025","May 16, 2025"
"8th Ave between E 11th St & E 12th St","D2","High","Closure","May 12, 2025","May 16, 2025"
"9th Ave between E 8th St & E 10th St","D2","High","Closure","May 12, 2025","May 16, 2025"
"9th Ave between E 11th St & E 12th St","D2","High","Closure","May 12, 2025","May 16, 2025"
"Mandela Pkwy between 12th St and 13th St","D3","High","Closure","May 12, 2025","May 16, 2025"
"Mandela Pkwy between 13th and 14th","D3","High","Closure","May 12, 2025","May 16, 2025"
"Mandela Pkwy between 14th St and 15th St","D3","High","Closure","May 12, 2025","May 16, 2025"
"Mandela Pkwy between 15th St and 16th St","D3","High","Closure","May 12, 2025","May 16, 2025"
"International Blvd between 82nd ave and 83rd ave","D7","High","Closure","May 07, 2025","May 09, 2025"
"International Blvd between 83rd Ave and 84th Ave","D7","High","Closure","May 07, 2025","May 09, 2025"
"International Blvd between 84th Ave and 85th Ave","D7","High","Closure","May 07, 2025","May 09, 2025"
"International Blvd between 85th Ave and 86th Ave","D7","High","Closure","May 07, 2025","May 09, 2025"
"Broadway between 5th and 6th","D3","High","Closure","May 06, 2025","May 09, 2025"
"Wilma Chan Park (formerly ""Madison Park"")","D3","High","Closure","May 06, 2025","May 07, 2025"
"Mandela Pkwy between 20th St and W Grand Ave","D3","High","Closure","May 05, 2025","May 09, 2025"
"W Grand Ave between Mandela Pkwy & Kirkham St","D3","High","Closure","May 05, 2025","May 09, 2025"
"W Grand Ave between Kirkham St & Poplar St","D3","High","Closure","May 05, 2025","May 09, 2025"
"W Grand between Union St & Poplar St","D3","High","Closure","May 05, 2025","May 09, 2025"
"W Grand between Adeline St & Union St","D3","High","Closure","May 05, 2025","May 09, 2025"
"14th St between Center St and Mandela Pkwy","D3","High","Closure","May 05, 2025","May 09, 2025"
"14th St between Mandela Pkwy and Kirkham Ct","D3","High","Closure","May 05, 2025","May 09, 2025"
"14th St between Mandela Pkwy and Poplar St","D3","High","Closure","May 05, 2025","May 09, 2025"
"14th St between Poplar St and Union St","D3","High","Closure","May 05, 2025","May 09, 2025"
"14th St between Union St & Magnolia St","D3","High","Closure","May 05, 2025","May 09, 2025"
"14th St between Magnolia St & Adeline St","D3","High","Closure","May 05, 2025","May 09, 2025"
"Mandela Pkwy between 18th St and 20th St","D3","High","Closure","May 05, 2025","May 09, 2025"
"Mandela Pkwy between 13th and 14th","D3","High","Closure","May 05, 2025","May 09, 2025"
"Mandela Pkwy between 12th St and 13th St","D3","High","Closure","May 05, 2025","May 09, 2025"
"Mandela Pkwy between 17th St and 18th St","D3","High","Closure","May 05, 2025","May 09, 2025"
"Mandela Pkwy between 16th St and 17th St","D3","High","Closure","May 05, 2025","May 09, 2025"
"Mandela Pkwy between 15th St and 16th St","D3","High","Closure","May 05, 2025","May 09, 2025"
"Mandela Pkwy between 14th St and 15th St","D3","High","Closure","May 05, 2025","May 09, 2025"
"Lake Merritt -- All Parks, City Assets, and Walkways","D3","High","Closure","April 28, 2025","May 02, 2025"
"36th St between Telegraph St and Webster St","D3","High","Closure","April 21, 2025","April 25, 2025"
"Webster St between 36th St and 34th St","D3","High","Closure","April 21, 2025","April 25, 2025"
"Webster St between 36th St and 37th St","D3","High","Closure","April 21, 2025","April 25, 2025"
"Webster St between 37th St and W MacArthur Blvd","D3","High","Closure","April 21, 2025","April 25, 2025"
"Webster St between W MacArthur Blvd and 38th St","D3","High","Closure","April 21, 2025","April 25, 2025"
"W MacArthur Blvd between Telegraph Ave and Latimer Pl","D3","High","Closure","April 21, 2025","April 25, 2025"
"W MacArthur Blvd between Latimer Pl and Ruby St","D3","High","Closure","April 21, 2025","April 25, 2025"
"W MacArthur Blvd between Ruby St and Webster St","D3","High","Closure","April 21, 2025","April 25, 2025"
"W MacArthur Blvd between Webster St and Shafter St","D3","High","Closure","April 21, 2025","April 25, 2025"
"W MacArthur Blvd between Shafter St & Manila Ave","D3","High","Closure","April 21, 2025","April 25, 2025"
"W MacArthur Blvd between Manila Ave & Broadway","D3","High","Closure","April 21, 2025","April 25, 2025"
"Mosswood Park","D3","High","Closure","April 21, 2025","April 25, 2025"
"Lake Merritt -- All Parks, City Assets, and Walkways","D3","High","Closure","April 21, 2025","April 25, 2025"
"Mandela Pkwy between 12th St and 13th St","D3","High","Closure","April 21, 2025","April 25, 2025"
"Mandela Pkwy between 13th and 14th","D3","High","Closure","April 21, 2025","April 25, 2025"
"Mandela Pkwy between 14th St and 15th St","D3","High","Closure","April 21, 2025","April 25, 2025"
"Mandela Pkwy between 15th St and 16th St","D3","High","Closure","April 21, 2025","April 25, 2025"
"Mandela Pkwy between 16th St and 17th St","D3","High","Closure","April 21, 2025","April 25, 2025"
"Mandela Pkwy between 17th St and 18th St","D3","High","Closure","April 21, 2025","April 25, 2025"
"Mandela Pkwy between 18th St and 20th St","D3","High","Closure","April 21, 2025","April 25, 2025"
"Mandela Pkwy between 20th St and W Grand Ave","D3","High","Closure","April 21, 2025","April 25, 2025"
"W Grand Ave between Mandela Pkwy & Kirkham St","D3","High","Closure","April 21, 2025","April 25, 2025"
"W Grand Ave between Kirkham St & Poplar St","D3","High","Closure","April 21, 2025","April 25, 2025"
"W Grand between Union St & Poplar St","D3","High","Closure","April 21, 2025","April 25, 2025"
"W Grand between Adeline St & Union St","D3","High","Closure","April 21, 2025","April 25, 2025"
"14th St between Center St and Mandela Pkwy","D3","High","Closure","April 21, 2025","April 25, 2025"
"14th St between Mandela Pkwy and Kirkham Ct","D3","High","Closure","April 21, 2025","April 25, 2025"
"14th St between Mandela Pkwy and Poplar St","D3","High","Closure","April 21, 2025","April 25, 2025"
"14th St between Poplar St and Union St","D3","High","Closure","April 21, 2025","April 25, 2025"
"14th St between Union St & Magnolia St","D3","High","Closure","April 21, 2025","April 25, 2025"
"14th St between Magnolia St & Adeline St","D3","High","Closure","April 21, 2025","April 25, 2025"
"Bernhardt Dr between Foster Ave and Ghormley Ave","D6","High","Closure","April 16, 2025","April 18, 2025"
"Bernhardt Dr between Ghormley Ave and Hunter Ave","D6","High","Closure","April 16, 2025","April 18, 2025"
"Bernhardt Dr between Hunter Ave and Isleton Ave","D6","High","Closure","April 16, 2025","April 18, 2025"
"Bernhardt Dr between Islenton Ave and Kerwin Ave","D6","High","Closure","April 16, 2025","April 18, 2025"
"Bernhardt Dr between Saint Elmo Dr and Foster Ave","D6","High","Closure","April 16, 2025","April 18, 2025"
"San Leandro St between 54th Ave & Seminary Ave","D6","High","Closure","April 15, 2025","April 16, 2025"
"Wood St between 26th St and 32nd St","D3","High","Closure","April 14, 2025","April 18, 2025"
"Mandela Pkwy between 18th St and 20th St","D3","High","Closure","April 14, 2025","April 18, 2025"
"Mandela Pkwy between 12th St and 13th St","D3","High","Closure","April 14, 2025","April 18, 2025"
"Mandela Pkwy between 17th St and 18th St","D3","High","Closure","April 14, 2025","April 18, 2025"
"Mandela Pkwy between 16th St and 17th St","D3","High","Closure","April 14, 2025","April 18, 2025"
"Mandela Pkwy between 15th St and 16th St","D3","High","Closure","April 14, 2025","April 18, 2025"
"Mandela Pkwy between 14th St and 15th St","D3","High","Closure","April 14, 2025","April 18, 2025"
"Lake Merritt -- All Parks, City Assets, and Walkways","D3","High","Closure","April 14, 2025","April 18, 2025"
"Mandela Pkwy between 13th and 14th","D3","High","Closure","April 14, 2025","April 18, 2025"
"W Grand Ave between Kirkham St & Poplar St","D3","High","Closure","April 14, 2025","April 18, 2025"
"W Grand Ave between Mandela Pkwy & Kirkham St","D3","High","Closure","April 14, 2025","April 18, 2025"
"Mandela Pkwy between 20th St and W Grand Ave","D3","High","Closure","April 14, 2025","April 18, 2025"
"W Grand between Union St & Poplar St","D3","High","Closure","April 14, 2025","April 18, 2025"
"W Grand between Adeline St & Union St","D3","High","Closure","April 14, 2025","April 18, 2025"
"14th St between Center St and Mandela Pkwy","D3","High","Closure","April 14, 2025","April 18, 2025"
"14th St between Mandela Pkwy and Kirkham Ct","D3","High","Closure","April 14, 2025","April 18, 2025"
"14th St between Mandela Pkwy and Poplar St","D3","High","Closure","April 14, 2025","April 18, 2025"
"14th St between Poplar St and Union St","D3","High","Closure","April 14, 2025","April 18, 2025"
"14th St between Union St & Magnolia St","D3","High","Closure","April 14, 2025","April 18, 2025"
"14th St between Magnolia St & Adeline St","D3","High","Closure","April 14, 2025","April 18, 2025"
"Northgate Ave between W Grand Ave and 23rd St","D3","High","Closure","April 14, 2025","April 14, 2025"
"Northgate Ave between 23rd St and 24th St","D3","High","Closure","April 14, 2025","April 14, 2025"
"Northgate Ave between 24th St & 25th St","D3","High","Closure","April 14, 2025","April 14, 2025"
"Northgate between Sycamore St & 27th St","D3","High","Closure","April 14, 2025","April 14, 2025"
"Northgate Ave between 25th St & Sycamore St","D3","High","Closure","April 14, 2025","April 14, 2025"
"Washington St between 4th St and 5th St","D3","High","Closure","April 14, 2025","April 15, 2025"
"5th St between Clay St and Washingston St","D3","High","Closure","April 14, 2025","April 15, 2025"
"5th St between Washingston St & Broadway","D3","High","Closure","April 14, 2025","April 15, 2025"
"Wood St between W Grand Ave and 24th St","D3","High","Closure","April 14, 2025","April 18, 2025"
"Wood St between 24th St and 26th St","D3","High","Closure","April 14, 2025","April 18, 2025"
"Adeline St between 19th St & 21st St","D3","High","Closure","April 07, 2025","April 11, 2025"
"21st St between Chestnut St & Adeline St","D3","High","Closure","April 07, 2025","April 11, 2025"
"21st St between Adeline St & Union St","D3","High","Closure","April 07, 2025","April 11, 2025"
"21st St between Union St and Poplar St","D3","High","Closure","April 07, 2025","April 11, 2025"
"10th St between Fallon St & East Dr","D2","High","Closure","April 07, 2025","April 11, 2025"
"10th St and E 10th St between East Dr & 2nd Ave","D2","High","Closure","April 07, 2025","April 11, 2025"
"E 10th St between 2nd Ave & 4th Ave","D2","High","Closure","April 07, 2025","April 11, 2025"
"E 10th St between 4th Ave & 5th Ave","D2","High","Closure","April 07, 2025","April 11, 2025"
"E 10th St between 5th Ave & 6th Ave","D2","High","Closure","April 07, 2025","April 11, 2025"
"E 10th St Bridge underpass near Channel Park","D2","High","Closure","April 07, 2025","April 11, 2025"
"Lake Merritt Blvd Underpass Near Peralta Park","D2","High","Closure","April 07, 2025","April 11, 2025"
"Peralta Park","D2","High","Closure","April 07, 2025","April 11, 2025"
"7th St & E 8th St between Fallon St & 6th Ave","D2","High","Closure","April 07, 2025","April 11, 2025"
"21st St between Linden St and Chestnut St","D3","High","Closure","April 07, 2025","April 11, 2025"
"W Grand between Linden St & Adeline St","D3","High","Closure","April 07, 2025","April 11, 2025"
"W Grand between Adeline St & Union St","D3","High","Closure","April 07, 2025","April 11, 2025"
"W Grand between Union St & Poplar St","D3","High","Closure","April 07, 2025","April 11, 2025"
"Union St between 21st St & W Grand Ave","D3","High","Closure","April 07, 2025","April 11, 2025"
"Union St between 19th St & 21st St","D3","High","Closure","April 07, 2025","April 11, 2025"
"19th St between Union St and Adeline St","D3","High","Closure","April 07, 2025","April 11, 2025"
"Poplar St between 21st St and W Grand Ave","D3","High","Closure","April 07, 2025","April 11, 2025"
"Poplar St between 20th St and 21st St","D3","High","Closure","April 07, 2025","April 11, 2025"
"Poplar St between 18th St and 20th St","D3","High","Closure","April 07, 2025","April 11, 2025"
"Adeline St between 21st St & W Grand Ave","D3","High","Closure","April 07, 2025","April 11, 2025"
"Adeline St between 18th St & 19th St","D3","High","Closure","April 07, 2025","April 11, 2025"
"18th St between Mandela Pkwy & Poplar St","D3","High","Closure","April 07, 2025","April 11, 2025"
"18th St between Poplar St and Adeline St","D3","High","Closure","April 07, 2025","April 11, 2025"
"Linden St between 21St & W Grand Ave","D3","High","Closure","April 07, 2025","April 11, 2025"
"Lake Merritt -- All Parks, City Assets, and Walkways","D3","High","Closure","April 07, 2025","April 11, 2025"
"Railroad Ave between Louisiana St and 85th Ave","D7","High","Closure","April 03, 2025","April 04, 2025"
"105th Ave between Russet St & San Leandro St","D7","High","Closure","April 02, 2025","April 04, 2025"
"San Leandro St between 106th Ave and 107th Ave","D7","High","Closure","April 02, 2025","April 04, 2025"
"San Leandro St between 105th Ave and 106th Ave","D7","High","Closure","April 02, 2025","April 04, 2025"
"Lake Merritt -- All Parks, City Assets, and Walkways","D3","High","Closure","April 02, 2025","April 04, 2025"
