location_raw,district,sensitivity_zone,OPERATION START DATE,OPERATION END DATE,start_date,end_date,duration_days,year,month,year_month,policy_era,intervention_primary,intervention_secondary,is_mixed_intervention,not_executed,is_self_closure,with_outreach,spatial_notes,location_type,location_for_geocoding,latitude,longitude,geocode_source,geocode_notes,intervention_raw
Lake Merritt Zone 3: Bellevue Ave and Grand Ave,D3,High,"February 27, 2025","February 28, 2025",2025-02-27,2025-02-28,1,2025,2,2025-02,post_newsom_order,Closure,,False,False,False,False,,named_place,"Lake Merritt Zone 3, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
"Wilma Chan Park (formerly ""Madison Park"")",D2,High,"February 20, 2025","February 21, 2025",2025-02-20,2025-02-21,1,2025,2,2025-02,post_newsom_order,Closure,,False,False,False,False,,named_place,"Wilma Chan Park (formerly ""Madison Park""), Oakland, CA",37.8039,-122.2362,known_place_lookup,,Closure
Estuary Park/Jack London Aquatic Center,D3,High,"February 03, 2025","February 07, 2025",2025-02-03,2025-02-07,4,2025,2,2025-02,post_newsom_order,Closure,,False,False,False,False,,named_place,"Estuary Park, Oakland, CA",37.7907,-122.249,known_place_lookup,,Closure
Courtland Creek Park,D5,High,"January 27, 2025","January 27, 2025",2025-01-27,2025-01-27,0,2025,1,2025-01,post_newsom_order,Closure,,False,False,False,False,,named_place,"Courtland Creek Park, Oakland, CA",37.776,-122.1926,known_place_lookup,,Closure
Lake Merritt: 563 Pergola,D2,High,"January 22, 2025","January 24, 2025",2025-01-22,2025-01-24,2,2025,1,2025-01,post_newsom_order,Closure,,False,False,False,False,,named_place,"Lake Merritt, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
Lake Merritt: Zone 3,D2,High,"January 21, 2025","January 22, 2025",2025-01-21,2025-01-22,1,2025,1,2025-01,post_newsom_order,Closure,,False,False,False,False,,named_place,"Lake Merritt, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
Chinese Garden Park,D2,High,"January 15, 2025","January 16, 2025",2025-01-15,2025-01-16,1,2025,1,2025-01,post_newsom_order,Closure,,False,False,False,False,,named_place,"Chinese Garden Park, Oakland, CA",37.7958,-122.2302,known_place_lookup,,Closure
Estuary Park/Jack London Aquatic Center,D2,High,"January 09, 2025","January 10, 2025",2025-01-09,2025-01-10,1,2025,1,2025-01,post_newsom_order,Closure,,False,False,False,False,,named_place,"Estuary Park, Oakland, CA",37.7907,-122.249,known_place_lookup,,Closure
Jefferson Square Park,D3,High,"December 18, 2024","December 20, 2024",2024-12-18,2024-12-20,2,2024,12,2024-12,post_newsom_order,Closure,,False,False,False,False,,named_place,"Jefferson Square Park, Oakland, CA",37.8042,-122.271,known_place_lookup,,Closure
Chinese Garden Park,D2,High,"December 17, 2024","December 17, 2024",2024-12-17,2024-12-17,0,2024,12,2024-12,post_newsom_order,Closure,,False,False,False,False,,named_place,"Chinese Garden Park, Oakland, CA",37.7958,-122.2302,known_place_lookup,,Closure
Vantage Point Park,D2,High,"December 12, 2024","December 12, 2024",2024-12-12,2024-12-12,0,2024,12,2024-12,post_newsom_order,Closure,,False,False,False,False,,named_place,"Vantage Point Park, Oakland, CA",37.801,-122.2359,known_place_lookup,,Closure
"Cypress Freeway Memorial Park (FS3), 1301 Mandela Parkway",D3,High,"October 29, 2024","October 29, 2024",2024-10-29,2024-10-29,0,2024,10,2024-10,post_newsom_order,Closure,,False,False,False,False,,named_place,"Cypress Freeway Memorial Park (FS3), 1301 Mandela Parkway, Oakland, CA",37.8199,-122.2891,known_place_lookup,,Closure
Lake Merritt: Fairyland (zone 1 and zone 2),D3,High,"October 24, 2024","October 25, 2024",2024-10-24,2024-10-25,1,2024,10,2024-10,post_newsom_order,Closure,,False,False,False,False,,named_place,"Lake Merritt, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
"Cypress Freeway Memorial Park (FS3), 1301 Mandela Parkway",D3,High,"October 22, 2024","October 25, 2024",2024-10-22,2024-10-25,3,2024,10,2024-10,post_newsom_order,Closure,,False,False,False,False,,named_place,"Cypress Freeway Memorial Park (FS3), 1301 Mandela Parkway, Oakland, CA",37.8199,-122.2891,known_place_lookup,,Closure
Union Point Park,D5,High,"October 21, 2024","October 21, 2024",2024-10-21,2024-10-21,0,2024,10,2024-10,post_newsom_order,Closure,,False,False,False,False,,named_place,"Union Point Park, Oakland, CA",37.7742,-122.2316,known_place_lookup,,Closure
Clinton Park,D2,High,"September 30, 2024","September 30, 2024",2024-09-30,2024-09-30,0,2024,9,2024-09,post_newsom_order,Closure,,False,False,False,False,,named_place,"Clinton Park, Oakland, CA",37.8082,-122.2544,known_place_lookup,,Closure
Peralta Park,D2,High,"September 24, 2024","September 26, 2024",2024-09-24,2024-09-26,2,2024,9,2024-09,post_newsom_order,Closure,,False,False,False,False,,named_place,"Peralta Park, Oakland, CA",37.8175,-122.2779,known_place_lookup,,Closure
Peralta Park,D2,High,"September 12, 2024","September 12, 2024",2024-09-12,2024-09-12,0,2024,9,2024-09,post_newsom_order,Deep Cleaning,,False,False,False,False,,named_place,"Peralta Park, Oakland, CA",37.8175,-122.2779,known_place_lookup,,Deep Cleaning
Lake Merritt: Fairyland (zone 1 and zone 2),D3,High,"August 28, 2024","August 29, 2024",2024-08-28,2024-08-29,1,2024,8,2024-08,post_newsom_order,Closure,,False,False,False,False,,named_place,"Lake Merritt, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
Clinton Park,D2,High,"August 21, 2024","August 21, 2024",2024-08-21,2024-08-21,0,2024,8,2024-08,post_newsom_order,Deep Cleaning,,False,False,False,False,,named_place,"Clinton Park, Oakland, CA",37.8082,-122.2544,known_place_lookup,,Deep Cleaning
Mosswood Park,D3,High,"July 30, 2024","July 30, 2024",2024-07-30,2024-07-30,0,2024,7,2024-07,post_grants_pass,Deep Cleaning,,False,False,False,False,,named_place,"Mosswood Park, Oakland, CA",37.8236,-122.2617,known_place_lookup,,Deep Cleaning
Union Point Park,D5,High,"July 29, 2024","July 29, 2024",2024-07-29,2024-07-29,0,2024,7,2024-07,post_grants_pass,Closure,,False,False,False,False,,named_place,"Union Point Park, Oakland, CA",37.7742,-122.2316,known_place_lookup,,Closure
Lake Merritt: Amphitheater/ 12th St between Lake Merritt Blvd and 11th St,D3,High,"July 26, 2024","July 26, 2024",2024-07-26,2024-07-26,0,2024,7,2024-07,post_grants_pass,Closure,,False,False,False,False,,named_place,"Lake Merritt, Oakland, CA",37.7982,-122.2587,known_place_lookup,,Closure
Toll Plaza Beach,D3,High,"July 23, 2024","July 25, 2024",2024-07-23,2024-07-25,2,2024,7,2024-07,post_grants_pass,Closure,,False,False,False,False,,named_place,"Toll Plaza Beach, Oakland, CA",37.828,-122.376,known_place_lookup,,Closure
Toll Plaza Beach,D3,High,"July 09, 2024","July 11, 2024",2024-07-09,2024-07-11,2,2024,7,2024-07,post_grants_pass,Closure,,False,False,False,False,,named_place,"Toll Plaza Beach, Oakland, CA",37.828,-122.376,known_place_lookup,,Closure
