location_raw,district,sensitivity_zone,OPERATION START DATE,OPERATION END DATE,start_date,end_date,duration_days,year,month,year_month,policy_era,intervention_primary,intervention_secondary,is_mixed_intervention,not_executed,is_self_closure,with_outreach,spatial_notes,location_type,location_for_geocoding,latitude,longitude,geocode_source,geocode_notes,intervention_raw
MLk between W Grand Ave & 23rd,D3,High,"July 10, 2025","July 11, 2025",2025-07-10,2025-07-11,1,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"Martin Luther King Jr Boulevard between West Grand Avenue & 23rd, Oakland, CA",37.812985725,-122.27266975,overpass_midpoint,,Closure
23rd St. between MLK and San Pablo,D3,High,"July 10, 2025","July 11, 2025",2025-07-10,2025-07-11,1,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"23rd Street. between Martin Luther King Jr Boulevard and San Pablo, Oakland, CA",37.813633725,-122.2734581,overpass_midpoint,,Closure
Castro St between 16th St & 17th St,D3,High,"July 09, 2025","July 10, 2025",2025-07-09,2025-07-10,1,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"Castro Street between 16th Street & 17th Street, Oakland, CA",37.80831705,-122.27612665000001,overpass_midpoint,"regeocoded_tight_bbox:37.63,-122.38,37.9,-122.11",Closure
Castro St between 15th St & 16th St,D3,High,"July 09, 2025","July 10, 2025",2025-07-09,2025-07-10,1,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"Castro Street between 15th Street & 16th Street, Oakland, CA",37.8076794,-122.27652465,overpass_midpoint,"regeocoded_tight_bbox:37.63,-122.38,37.9,-122.11",Closure
16th St between Castro St and MLK,D3,High,"July 09, 2025","July 10, 2025",2025-07-09,2025-07-10,1,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"16th Street between Castro Street and Martin Luther King Jr Boulevard, Oakland, CA",37.8080077,-122.2763199,overpass_endpoint_cross1,"regeocoded_tight_bbox:37.63,-122.38,37.9,-122.11",Closure
E 11th St & 23rd Ave,D5,High,"July 07, 2025","July 09, 2025",2025-07-07,2025-07-09,2,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,named_place,"E 11th Street & 23rd Avenue, Oakland, CA",37.7801133,-122.237017,overpass_direct,"regeocoded_tight_bbox:37.63,-122.38,37.9,-122.11",Closure
Castro St between 14th St & 15th St,D3,High,"July 07, 2025","July 11, 2025",2025-07-07,2025-07-11,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"Castro Street between 14th Street & 15th Street, Oakland, CA",37.80700795,-122.27693984999999,overpass_midpoint,"regeocoded_tight_bbox:37.63,-122.38,37.9,-122.11",Closure
Castro St between 12th St & 14th St,D3,High,"July 07, 2025","July 11, 2025",2025-07-07,2025-07-11,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"Castro Street between 12th Street & 14th Street, Oakland, CA",37.805976799999996,-122.27758180000001,overpass_midpoint,"regeocoded_tight_bbox:37.63,-122.38,37.9,-122.11",Closure
Castro St between 11th St & 12th St,D3,High,"July 07, 2025","July 11, 2025",2025-07-07,2025-07-11,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,intersection,"Castro Street between 11th Street & 12th Street, Oakland, CA",37.8049426,-122.27823295,overpass_midpoint,,Closure
2121 E. 12th St/23rd Ave and E. 12th St,D2,High,"July 07, 2025","July 11, 2025",2025-07-07,2025-07-11,4,2025,7,2025-07,post_newsom_order,Closure,,False,False,False,False,,address,"2121 East 12th Street, Oakland, CA",37.7842999,-122.2400942,nominatim,,Closure
50th Ave between E 12th St & San Leandro St,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"50th Avenue between E 12th Street & San Leandro Street, Oakland, CA",37.76701475,-122.21138225,overpass_midpoint,,Closure
49th Ave between International Blvd and San Leandro St,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"49th Avenue between International Boulevard and San Leandro Street, Oakland, CA",37.76839705,-122.21114215,overpass_midpoint,,Closure
50th Ave between International Blvd & E 12th St,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"50th Avenue between International Boulevard & E 12th Street, Oakland, CA",37.768547175,-122.209705625,overpass_midpoint,,Closure
48th Street between International Boulevard and San Leandro Street,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"48th Street between International Boulevard and San Leandro Street, Oakland, CA",37.7700006,-122.210376,manual_input,manual_input,Closure
E. 12th St between 49th Ave and 50th Ave,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 49th Avenue and 50th Avenue, Oakland, CA",37.7679513,-122.21100985,overpass_midpoint,,Closure
E. 12th St between 48th Ave and 49th Ave,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 48th Avenue and 49th Avenue, Oakland, CA",37.7685084,-122.2116769,overpass_midpoint,,Closure
E. 12th St between 47th Ave and 48th Ave,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 47th Avenue and 48th Avenue, Oakland, CA",37.76905155,-122.21233595,overpass_midpoint,,Closure
E. 12th St between 46th Ave and 47th Ave,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 46th Avenue and 47th Avenue, Oakland, CA",37.7696404,-122.21303375,overpass_midpoint,,Closure
E. 12th St between 45th Ave and 46th Ave,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 45th Avenue and 46th Avenue, Oakland, CA",37.77024085,-122.21375445,overpass_midpoint,,Closure
E. 12th St between 44th Ave and 45th Ave,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 44th Avenue and 45th Avenue, Oakland, CA",37.7708411,-122.21447535,overpass_midpoint,,Closure
E. 12th St between High St and 44th Ave,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between High Street and 44th Avenue, Oakland, CA",37.77128555,-122.21546535,overpass_midpoint,,Closure
E. 12th St between 42nd Ave and High St,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 42nd Avenue and High Street, Oakland, CA",37.77169835,-122.21666855,overpass_midpoint,,Closure
E. 12th St between 41st Ave and 42nd Ave,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 41st Avenue and 42nd Avenue, Oakland, CA",37.7721605,-122.21763725,overpass_midpoint,,Closure
E. 12th St between 40th Ave and 41st Ave,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 40th Avenue and 41st Avenue, Oakland, CA",37.7725645,-122.21849645,overpass_midpoint,,Closure
45th between E 12th St and San Leandro,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"45th between E 12th Street and San Leandro, Oakland, CA",37.769967,-122.21487365,overpass_midpoint,"regeocoded_tight_bbox:37.63,-122.38,37.9,-122.11",Closure
45th Ave between International and E12 Street,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"45th Avenue between International Boulevard and E12 Street, Oakland, CA",37.7714435,-122.21294205,overpass_endpoint_cross1,,Closure
47th Ave between E.12th and San Leandro St,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"47th Avenue between E.12th and San Leandro Street, Oakland, CA",37.768202,-122.2142013,overpass_endpoint_cross2,,Closure
47th Avenue between East 12th & International Blvd,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"47th Avenue between East 12th & International Boulevard, Oakland, CA",37.769921999999994,-122.21182125,overpass_midpoint,,Closure
High St between E 12th St Pl & International Blvd,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"High Street between E 12th Street Place & International Boulevard, Oakland, CA",37.772081275000005,-122.2152328,overpass_midpoint,,Closure
High St between E 12th St & E 12th St Pl,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"High Street between E 12th Street & E 12th Street Place, Oakland, CA",37.771617500000005,-122.2158425,overpass_midpoint,,Closure
46th Ave and E. 12th (cul-de-sac),D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"46th Avenue and East 12th, Oakland, CA",37.7699467,-122.2133939,overpass_direct,,Closure
46th Ave between International and E12 Street,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"46th Avenue between International Boulevard and E12 Street, Oakland, CA",37.77086376666667,-122.21168140000002,overpass_endpoint_cross1,,Closure
44th Ave between E 12th St & San Leandro ST,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"44th Avenue between E 12th Street & San Leandro ST, Oakland, CA",37.77058125,-122.2156022,overpass_midpoint,,Closure
44th Ave between E 12th St & International Blvd,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"44th Avenue between E 12th Street & International Boulevard, Oakland, CA",37.77152855,-122.21440545,overpass_midpoint,,Closure
42nd Ave between International and E 12th St,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"42nd Avenue between International Boulevard and E 12th Street, Oakland, CA",37.7724636625,-122.216692975,overpass_midpoint,,Closure
41st Ave and San Leandro St,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"41st Avenue and San Leandro Street, Oakland, CA",37.7714037,-122.2187867,overpass_direct,,Closure
41st Ave between International blvd and San Leandro St,D5,High,"June 30, 2025","July 03, 2025",2025-06-30,2025-07-03,3,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"41st Avenue between International Boulevard blvd and San Leandro Street, Oakland, CA",37.7714037,-122.2187867,overpass_endpoint_cross2,,Closure
42nd Ave between International and E 12th St,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"42nd Avenue between International Boulevard and E 12th Street, Oakland, CA",37.7724636625,-122.216692975,overpass_midpoint,,Closure
41st Ave and San Leandro St,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"41st Avenue and San Leandro Street, Oakland, CA",37.7714037,-122.2187867,overpass_direct,,Closure
23rd St. between MLK and San Pablo,D3,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"23rd Street. between Martin Luther King Jr Boulevard and San Pablo, Oakland, CA",37.813633725,-122.2734581,overpass_midpoint,,Closure
49th Ave between International Blvd and San Leandro St,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"49th Avenue between International Boulevard and San Leandro Street, Oakland, CA",37.76839705,-122.21114215,overpass_midpoint,,Closure
41st Ave between International blvd and San Leandro St,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"41st Avenue between International Boulevard blvd and San Leandro Street, Oakland, CA",37.7714037,-122.2187867,overpass_endpoint_cross2,,Closure
50th Ave between E 12th St & San Leandro St,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"50th Avenue between E 12th Street & San Leandro Street, Oakland, CA",37.76701475,-122.21138225,overpass_midpoint,,Closure
50th Ave between International Blvd & E 12th St,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"50th Avenue between International Boulevard & E 12th Street, Oakland, CA",37.768547175,-122.209705625,overpass_midpoint,,Closure
48th Street between International Boulevard and San Leandro Street,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"48th Street between International Boulevard and San Leandro Street, Oakland, CA",37.7700006,-122.210376,manual_input,manual_input,Closure
E. 12th St between 49th Ave and 50th Ave,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 49th Avenue and 50th Avenue, Oakland, CA",37.7679513,-122.21100985,overpass_midpoint,,Closure
E. 12th St between 48th Ave and 49th Ave,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 48th Avenue and 49th Avenue, Oakland, CA",37.7685084,-122.2116769,overpass_midpoint,,Closure
E. 12th St between 47th Ave and 48th Ave,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 47th Avenue and 48th Avenue, Oakland, CA",37.76905155,-122.21233595,overpass_midpoint,,Closure
E. 12th St between 46th Ave and 47th Ave,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 46th Avenue and 47th Avenue, Oakland, CA",37.7696404,-122.21303375,overpass_midpoint,,Closure
E. 12th St between 45th Ave and 46th Ave,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 45th Avenue and 46th Avenue, Oakland, CA",37.77024085,-122.21375445,overpass_midpoint,,Closure
E. 12th St between 44th Ave and 45th Ave,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 44th Avenue and 45th Avenue, Oakland, CA",37.7708411,-122.21447535,overpass_midpoint,,Closure
E. 12th St between High St and 44th Ave,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between High Street and 44th Avenue, Oakland, CA",37.77128555,-122.21546535,overpass_midpoint,,Closure
E. 12th St between 42nd Ave and High St,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 42nd Avenue and High Street, Oakland, CA",37.77169835,-122.21666855,overpass_midpoint,,Closure
E. 12th St between 41st Ave and 42nd Ave,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 41st Avenue and 42nd Avenue, Oakland, CA",37.7721605,-122.21763725,overpass_midpoint,,Closure
E. 12th St between 40th Ave and 41st Ave,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 40th Avenue and 41st Avenue, Oakland, CA",37.7725645,-122.21849645,overpass_midpoint,,Closure
45th between E 12th St and San Leandro,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"45th between E 12th Street and San Leandro, Oakland, CA",37.769967,-122.21487365,overpass_midpoint,"regeocoded_tight_bbox:37.63,-122.38,37.9,-122.11",Closure
45th Ave between International and E12 Street,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"45th Avenue between International Boulevard and E12 Street, Oakland, CA",37.7714435,-122.21294205,overpass_endpoint_cross1,,Closure
47th St between International Blvd and San Leandro St,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"47th Street between International Boulevard and San Leandro Street, Oakland, CA",37.7700156,-122.2118393,manual_input,manual_input,Closure
47th Ave between E.12th and San Leandro St,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"47th Avenue between E.12th and San Leandro Street, Oakland, CA",37.768202,-122.2142013,overpass_endpoint_cross2,,Closure
High St between E 12th St Pl & International Blvd,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"High Street between E 12th Street Place & International Boulevard, Oakland, CA",37.772081275000005,-122.2152328,overpass_midpoint,,Closure
High St between E 12th St & E 12th St Pl,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"High Street between E 12th Street & E 12th Street Place, Oakland, CA",37.771617500000005,-122.2158425,overpass_midpoint,,Closure
46th Ave and E. 12th (cul-de-sac),D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"46th Avenue and East 12th, Oakland, CA",37.7699467,-122.2133939,overpass_direct,,Closure
46th Ave between International and E12 Street,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"46th Avenue between International Boulevard and E12 Street, Oakland, CA",37.77086376666667,-122.21168140000002,overpass_endpoint_cross1,,Closure
44th Ave between E 12th St & San Leandro ST,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"44th Avenue between E 12th Street & San Leandro ST, Oakland, CA",37.77058125,-122.2156022,overpass_midpoint,,Closure
44th Ave between E 12th St & International Blvd,D5,High,"June 23, 2025","June 27, 2025",2025-06-23,2025-06-27,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"44th Avenue between E 12th Street & International Boulevard, Oakland, CA",37.77152855,-122.21440545,overpass_midpoint,,Closure
50th Ave between International Blvd & E 12th St,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"50th Avenue between International Boulevard & E 12th Street, Oakland, CA",37.768547175,-122.209705625,overpass_midpoint,,Closure
41st Ave between International blvd and San Leandro St,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"41st Avenue between International Boulevard blvd and San Leandro Street, Oakland, CA",37.7714037,-122.2187867,overpass_endpoint_cross2,,Closure
41st Ave and San Leandro St,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"41st Avenue and San Leandro Street, Oakland, CA",37.7714037,-122.2187867,overpass_direct,,Closure
42nd Ave between International and E 12th St,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"42nd Avenue between International Boulevard and E 12th Street, Oakland, CA",37.7724636625,-122.216692975,overpass_midpoint,,Closure
44th Ave between E 12th St & International Blvd,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"44th Avenue between E 12th Street & International Boulevard, Oakland, CA",37.77152855,-122.21440545,overpass_midpoint,,Closure
44th Ave between E 12th St & San Leandro ST,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"44th Avenue between E 12th Street & San Leandro ST, Oakland, CA",37.77058125,-122.2156022,overpass_midpoint,,Closure
46th Ave between International and E12 Street,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"46th Avenue between International Boulevard and E12 Street, Oakland, CA",37.77086376666667,-122.21168140000002,overpass_endpoint_cross1,,Closure
46th Ave and E. 12th (cul-de-sac),D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"46th Avenue and East 12th, Oakland, CA",37.7699467,-122.2133939,overpass_direct,,Closure
High St between E 12th St & E 12th St Pl,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"High Street between E 12th Street & E 12th Street Place, Oakland, CA",37.771617500000005,-122.2158425,overpass_midpoint,,Closure
High St between E 12th St Pl & International Blvd,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"High Street between E 12th Street Place & International Boulevard, Oakland, CA",37.772081275000005,-122.2152328,overpass_midpoint,,Closure
47th Avenue between East 12th & International Blvd,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"47th Avenue between East 12th & International Boulevard, Oakland, CA",37.769921999999994,-122.21182125,overpass_midpoint,,Closure
47th Ave between E.12th and San Leandro St,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"47th Avenue between E.12th and San Leandro Street, Oakland, CA",37.768202,-122.2142013,overpass_endpoint_cross2,,Closure
45th Ave between International and E12 Street,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"45th Avenue between International Boulevard and E12 Street, Oakland, CA",37.7714435,-122.21294205,overpass_endpoint_cross1,,Closure
45th between E 12th St and San Leandro,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"45th between E 12th Street and San Leandro, Oakland, CA",37.769967,-122.21487365,overpass_midpoint,"regeocoded_tight_bbox:37.63,-122.38,37.9,-122.11",Closure
E. 12th St between 40th Ave and 41st Ave,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 40th Avenue and 41st Avenue, Oakland, CA",37.7725645,-122.21849645,overpass_midpoint,,Closure
E. 12th St between 41st Ave and 42nd Ave,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 41st Avenue and 42nd Avenue, Oakland, CA",37.7721605,-122.21763725,overpass_midpoint,,Closure
E. 12th St between 42nd Ave and High St,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 42nd Avenue and High Street, Oakland, CA",37.77169835,-122.21666855,overpass_midpoint,,Closure
E. 12th St between High St and 44th Ave,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between High Street and 44th Avenue, Oakland, CA",37.77128555,-122.21546535,overpass_midpoint,,Closure
E. 12th St between 44th Ave and 45th Ave,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 44th Avenue and 45th Avenue, Oakland, CA",37.7708411,-122.21447535,overpass_midpoint,,Closure
E. 12th St between 45th Ave and 46th Ave,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 45th Avenue and 46th Avenue, Oakland, CA",37.77024085,-122.21375445,overpass_midpoint,,Closure
E. 12th St between 46th Ave and 47th Ave,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 46th Avenue and 47th Avenue, Oakland, CA",37.7696404,-122.21303375,overpass_midpoint,,Closure
E. 12th St between 47th Ave and 48th Ave,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 47th Avenue and 48th Avenue, Oakland, CA",37.76905155,-122.21233595,overpass_midpoint,,Closure
E. 12th St between 48th Ave and 49th Ave,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 48th Avenue and 49th Avenue, Oakland, CA",37.7685084,-122.2116769,overpass_midpoint,,Closure
E. 12th St between 49th Ave and 50th Ave,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"East 12th Street between 49th Avenue and 50th Avenue, Oakland, CA",37.7679513,-122.21100985,overpass_midpoint,,Closure
48th Street between International Boulevard and San Leandro Street,D5,High,"June 16, 2025","June 20, 2025",2025-06-16,2025-06-20,4,2025,6,2025-06,post_newsom_order,Closure,,False,False,False,False,,intersection,"48th Street between International Boulevard and San Leandro Street, Oakland, CA",37.7700006,-122.210376,manual_input,manual_input,Closure
